sample,sequence,sequence_labels_csv
open_ENSG00000129673,ENSG00000129673,resources/sample_labels/open_labels.csv
open_ENSG00000173535,ENSG00000173535,resources/sample_labels/open_labels.csv
open_ENSG00000175485,ENSG00000175485,resources/sample_labels/open_labels.csv
edge_ENSG00000100053,ENSG00000100053,resources/sample_labels/edge_labels.csv
edge_ENSG00000100122,ENSG00000100122,resources/sample_labels/edge_labels.csv
edge_ENSG00000120563,ENSG00000120563,resources/sample_labels/edge_labels.csv
edge_ENSG00000127377,ENSG00000127377,resources/sample_labels/edge_labels.csv
edge_ENSG00000151033,ENSG00000151033,resources/sample_labels/edge_labels.csv
edge_ENSG00000163499,ENSG00000163499,resources/sample_labels/edge_labels.csv
edge_ENSG00000166926,ENSG00000166926,resources/sample_labels/edge_labels.csv
edge_ENSG00000171501,ENSG00000171501,resources/sample_labels/edge_labels.csv
edge_ENSG00000182187,ENSG00000182187,resources/sample_labels/edge_labels.csv
edge_ENSG00000196431,ENSG00000196431,resources/sample_labels/edge_labels.csv
edge_ENSG00000204923,ENSG00000204923,resources/sample_labels/edge_labels.csv
edge_ENSG00000249481,ENSG00000249481,resources/sample_labels/edge_labels.csv
edge_ENSG00000283324,ENSG00000283324,resources/sample_labels/edge_labels.csv
edge_ENSG00000284194,ENSG00000284194,resources/sample_labels/edge_labels.csv
narrow_ENSG00000137078,ENSG00000137078,resources/sample_labels/narrow_labels.csv
narrow_ENSG00000147588,ENSG00000147588,resources/sample_labels/narrow_labels.csv
narrow_ENSG00000180425,ENSG00000180425,resources/sample_labels/narrow_labels.csv
narrow_ENSG00000203733,ENSG00000203733,resources/sample_labels/narrow_labels.csv
aerial_ENSG00000100053,ENSG00000100053,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000100122,ENSG00000100122,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000120563,ENSG00000120563,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000127377,ENSG00000127377,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000151033,ENSG00000151033,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000163499,ENSG00000163499,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000182187,ENSG00000182187,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000196431,ENSG00000196431,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000204923,ENSG00000204923,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000276240,ENSG00000276240,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000283324,ENSG00000283324,resources/sample_labels/aerial_labels.csv
flutter_ENSG00000258388,ENSG00000258388,resources/sample_labels/flutter_labels.csv
gleaning_ENSG00000006015,ENSG00000006015,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000103355,ENSG00000103355,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000138755,ENSG00000138755,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000141574,ENSG00000141574,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000147223,ENSG00000147223,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000163377,ENSG00000163377,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000174225,ENSG00000174225,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000174448,ENSG00000174448,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000178279,ENSG00000178279,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000182853,ENSG00000182853,resources/sample_labels/gleaning_labels.csv
