sample,sequence,sequence_labels_csv
open_ENSG00000067445,ENSG00000067445,resources/sample_labels/open_labels.csv
open_ENSG00000073331,ENSG00000073331,resources/sample_labels/open_labels.csv
open_ENSG00000102226,ENSG00000102226,resources/sample_labels/open_labels.csv
open_ENSG00000103310,ENSG00000103310,resources/sample_labels/open_labels.csv
open_ENSG00000113905,ENSG00000113905,resources/sample_labels/open_labels.csv
open_ENSG00000122188,ENSG00000122188,resources/sample_labels/open_labels.csv
open_ENSG00000132297,ENSG00000132297,resources/sample_labels/open_labels.csv
open_ENSG00000137090,ENSG00000137090,resources/sample_labels/open_labels.csv
open_ENSG00000146090,ENSG00000146090,resources/sample_labels/open_labels.csv
open_ENSG00000152926,ENSG00000152926,resources/sample_labels/open_labels.csv
open_ENSG00000154545,ENSG00000154545,resources/sample_labels/open_labels.csv
open_ENSG00000157653,ENSG00000157653,resources/sample_labels/open_labels.csv
open_ENSG00000160961,ENSG00000160961,resources/sample_labels/open_labels.csv
open_ENSG00000170099,ENSG00000170099,resources/sample_labels/open_labels.csv
open_ENSG00000176925,ENSG00000176925,resources/sample_labels/open_labels.csv
open_ENSG00000189253,ENSG00000189253,resources/sample_labels/open_labels.csv
open_ENSG00000203859,ENSG00000203859,resources/sample_labels/open_labels.csv
edge_ENSG00000111305,ENSG00000111305,resources/sample_labels/edge_labels.csv
edge_ENSG00000124091,ENSG00000124091,resources/sample_labels/edge_labels.csv
edge_ENSG00000138161,ENSG00000138161,resources/sample_labels/edge_labels.csv
edge_ENSG00000186814,ENSG00000186814,resources/sample_labels/edge_labels.csv
narrow_ENSG00000114626,ENSG00000114626,resources/sample_labels/narrow_labels.csv
aerial_ENSG00000067221,ENSG00000067221,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000073008,ENSG00000073008,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000075407,ENSG00000075407,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000101353,ENSG00000101353,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000111305,ENSG00000111305,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000122432,ENSG00000122432,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000124091,ENSG00000124091,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000138161,ENSG00000138161,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000158163,ENSG00000158163,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000167476,ENSG00000167476,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000175518,ENSG00000175518,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000186814,ENSG00000186814,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000204033,ENSG00000204033,resources/sample_labels/aerial_labels.csv
aerial_ENSG00000265203,ENSG00000265203,resources/sample_labels/aerial_labels.csv
flutter_ENSG00000181009,ENSG00000181009,resources/sample_labels/flutter_labels.csv
flutter_ENSG00000184949,ENSG00000184949,resources/sample_labels/flutter_labels.csv
flutter_ENSG00000186205,ENSG00000186205,resources/sample_labels/flutter_labels.csv
gleaning_ENSG00000072163,ENSG00000072163,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000103199,ENSG00000103199,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000106479,ENSG00000106479,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000112299,ENSG00000112299,resources/sample_labels/gleaning_labels.csv
gleaning_ENSG00000114626,ENSG00000114626,resources/sample_labels/gleaning_labels.csv
